"Name","Void Fraction","ASA m2/cm3","ASA m2/g","PLD","LCD","Isotherms","Database","Atoms in MOF","More Information"
"ABEMIF_clean","0.68","1036","1194","6.80","11.2","N2","CSD","C, Cl, Cu, H, O","ABEMIF_clean"
"acs.cgd.6b00","0.35","0","0","3.23","5.99","N2","CoREMOF","Ag, C, H, N","acs.cgd.6b00"
"acscombsci.5","0.62","1548","1620","5.53","7.37","","CoREMOF","C, F, H, N, O, Zn","acscombsci.5"
"AFENEE_clean","0.32","0","0","3.41","4.49","N2","CoREMOF","Ag, C, H, N","AFENEE_clean"
"AFOTOF_clean","0.63","1368","1470","6.77","8.79","N2","CoREMOF","C, Eu, H, O","AFOTOF_clean"
"AYUWUM_clean","0.27","0","0","3.13","4.54","N2","CoREMOF","C, H, Na, O, S","AYUWUM_clean"
"AZAWAB_clean","0.46","864","962.","4.89","5.65","N2","CoREMOF","C, Cu, H, O","AZAWAB_clean"
"c5dt01848j_c","0.29","339","495.","4.11","5.60","N2","CoREMOF","C, H, Ho, N, O","c5dt01848j_c"
"c5dt01895a_c","0.45","158","212.","5.20","6.44","N2","CoREMOF","C, Co, H, N, O","c5dt01895a_c"
"CESFIQ_clean","0.88","3270","2250","6.13","12.6","N2","CoREMOF","C, Cu, H, O","CESFIQ_clean"
"cm503311x_al","0.65","1485","1409","6.82","7.16","N2","CoREMOF","Al, C, O","cm503311x_al"
"CUNQUZ_clean","0.40","475","922.","4.50","5.05","N2","CoREMOF","C, Cd, H, O, P","CUNQUZ_clean"
"DIBXAO_clean","0.21","0","0","2.61","4.19","N2","CoREMOF","C, Co, N, O","DIBXAO_clean"
"DICVAO_clean","0.51","0","0","3.53","6.28","N2","CoREMOF","C, H, N, Nd, O","DICVAO_clean"
"DORFAS_clean","","1220","1256","5.94","6.89","N2","CoREMOF","C, H, In, O","DORFAS_clean"
"DUMFEY_clean","0.47","619","604.","3.74","5.59","N2","CoREMOF","C, H, N, Ni","DUMFEY_clean"
"DUPKAC_clean","0.79","","0","6.57","11.8","N2","CoREMOF","C, H, O, Zn","DUPKAC_clean"
